007B0B3C-37EB-4646-8789-8D2D821B57A9#appfire#8EE6C65E-0924-4898-AF69-4A0B6D508CFC#appfire#productStock#appfire#INT#appfire#10#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Present stock","Finders":"false","Widgets":"numberfield","WidgetDisplayName":"undefined","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"undefined","MinValue":"-2147483648","MaxValue":"2147483647","ErrorMessage":"","Name":"productStock"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#5#appfire##appfire##appfire#0#appfire#1
009EDBC7-C44A-42C5-BB3E-63EE62A19331#appfire#79DA39F9-78AA-451E-ADA8-65212886CB3F#appfire#commGroupName#appfire#VARCHAR#appfire#128#appfire#0#appfire#0#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#1#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Communication Group","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"128","ErrorMessage":"Please enter communication group","Finders":"true","Name":"commGroupName"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#2#appfire#Communication Group#appfire##appfire#0#appfire#1
00AA1594-C1DD-49B0-AD0D-7E1F52D8CC2F#appfire#22BDA3D5-8A96-4BB2-8200-5AE25FCCDA9C#appfire#activeStatus#appfire#INT#appfire#1#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1#appfire#1#appfire#column seq#appfire#{"DisplayName":"activeStatus","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"numberfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"activeStatus"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#20#appfire##appfire##appfire#0#appfire#1
00ABB47F-DE5B-4CAB-8886-28949F9EBE38#appfire#7814CC7D-28FF-489D-ADF6-311C02AE8C23#appfire#isoNumeric#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"ISO Numeric","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"numberfield","WidgetDisplayName":"NumberField","MinValue":"0","MaxValue":"11","ErrorMessage":"","Finders":"false","Name":"isoNumeric"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#12#appfire##appfire##appfire#0#appfire#1
00B4D78F-FB57-4A56-9079-F2F8C3593F65#appfire#86BFA3F9-06CE-4C06-9474-9F582BB9C51E#appfire#txnAccessCode#appfire#INT#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#1#appfire#column seq#appfire#{"DisplayName":"txnAccessCode","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"txnAccessCode"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#15#appfire##appfire##appfire#0#appfire#1
017104CE-D9BC-4BBC-AE9E-D57BC568EDA9#appfire#8704A424-40AA-4721-B3E5-22273D63FA80#appfire#addMapId#appfire#INT#appfire#11#appfire#1#appfire#0#appfire#1#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Comm Type","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"64","ErrorMessage":"","Finders":"false","Name":"addMapId"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#1#appfire##appfire##appfire#0#appfire#1
01899965-0129-4675-986E-22331108B745#appfire#BEC10A69-6B48-4F50-A3D0-B518853A56D9#appfire#algoHelp#appfire#VARCHAR#appfire#256#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Help","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textfield","WidgetDisplayName":"TextField","MinValue":"0","MaxValue":"256","ErrorMessage":"","Finders":"false","Name":"algoHelp"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#6#appfire##appfire##appfire#0#appfire#1
01C62882-5A10-4080-B78B-A2B96C668E57#appfire#A818F754-81E4-424F-8C6C-BB42964A8921#appfire#updatedBy#appfire#VARCHAR#appfire#64#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedBy","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"textfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedBy"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#9#appfire##appfire##appfire#0#appfire#1
0201A3FD-FED9-446B-9BC6-860D3BCFD500#appfire#6ED1157C-101E-47CF-BBCB-7252A471ECAF#appfire#updatedDate#appfire#DATETIME#appfire##appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#1900-01-01#appfire#1#appfire#column seq#appfire#{"DisplayName":"updatedDate","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"datefield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"updatedDate"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#8#appfire##appfire##appfire#0#appfire#1
027FB914-D512-40D3-930E-5C729F9FF8F9#appfire#6ED1157C-101E-47CF-BBCB-7252A471ECAF#appfire#addressTypeDesc#appfire#VARCHAR#appfire#256#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire##appfire#0#appfire#column seq#appfire#{"DisplayName":"Address Type Desc","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","Widgets":"textareafield","WidgetDisplayName":"TextAreaField","MinValue":"0","MaxValue":"256","ErrorMessage":"","Finders":"false","Name":"addressTypeDesc"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#3#appfire#Address Type#appfire##appfire#0#appfire#1
0286C0B6-83E7-4587-BF98-E7DEEDB1EEFE#appfire#E8ADB1A1-4741-4A29-87EF-AA150C161D2B#appfire#versionId#appfire#INT#appfire#11#appfire#0#appfire#1#appfire#0#appfire#0#appfire#0#appfire##appfire##appfire#0#appfire#-1#appfire#1#appfire#column seq#appfire#{"DisplayName":"versionId","DisplayFormat":"","RegularExpression":"","RegexDisplayName":"","WidgetDisplayName":"","Widgets":"numberfield","MinValue":"","MaxValue":"","ErrorMessage":"","Finders":"false","Name":"versionId"}#appfire#VTM8AJ3LPKLAHECJXAYYWW#appfire#864A3A2B-A939-4B73-B8BA-436BBEA855E8#appfire#1#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#2015-12-21 07:15:55#appfire#0#appfire#1#appfire#7#appfire##appfire##appfire#0#appfire#1
